problem,noise_level,sample_size,a0,a1,a2,a3,a4,b0,RMSE_obs_train,R2_obs_train,NRMSEr_obs_train,NRMSEm_obs_train,RMSE_obs_test,R2_obs_test,NRMSEr_obs_test,NRMSEm_obs_test,RMSE_clean_train,R2_clean_train,NRMSEr_clean_train,NRMSEm_clean_train,RMSE_clean_test,R2_clean_test,NRMSEr_clean_test,NRMSEm_clean_test,RMSE_obs_test_x0OOD,R2_obs_test_x0OOD,NRMSEr_obs_test_x0OOD,NRMSEm_obs_test_x0OOD,RMSE_obs_test_x1OOD,R2_obs_test_x1OOD,NRMSEr_obs_test_x1OOD,NRMSEm_obs_test_x1OOD,RMSE_obs_test_x0x1OOD,R2_obs_test_x0x1OOD,NRMSEr_obs_test_x0x1OOD,NRMSEm_obs_test_x0x1OOD,RMSE_clean_test_x0OOD,RMSE_clean_test_x1OOD,RMSE_clean_test_x0x1OOD,estimated_param_name,hessian_train_loss_autodiff,hessian_train_loss_finite_diff,estimated_param_mean,estimated_param_median,estimated_param_diameter,estimated_param_diameter_95,estimated_param_std,a5
new_1_1,0.01,512,0.0350347835524527,,,,,3.732982345534807,50.099262,0.058015704,0.20850383,1.348576,51.1919,0.07511413,0.21261221,1.3821458,50.083603,0.058047116,0.20893958,1.350033,51.1818,0.075119674,0.21331565,1.3815465,368.78958,-10.343505,0.9309179,1.1037192,52.302086,0.08321142,0.21769013,1.469661,367.19943,-9.518244,0.9416694,1.1098385,368.81754,52.331463,367.21317,a0,1259.2767333984375,1245.531743279571,0.03503377990246741,0.0350337557553331,2.6441036001037532e-06,1.2974152961003904e-06,3.1380153404555144e-07,
new_1_1,0.01,2048,0.0482576127405681,,,,,3.747302679117976,51.52817,0.05591619,0.2097351,1.3642399,50.845192,0.09673071,0.20981431,1.3316809,51.52632,0.05585456,0.21151192,1.3645498,50.81793,0.096758604,0.2108016,1.3306934,368.11752,-9.921631,0.9294806,1.0986602,53.874012,0.08888465,0.22401497,1.3916274,365.54135,-10.008577,0.93628824,1.0992017,368.13467,53.868427,365.54953,a0,1313.9541015625,1305.622283325647,0.048255724965136526,0.0482556971598067,3.851167472895822e-06,1.9863149295987204e-06,5.221853593566721e-07,
new_1_1,0.1,32,0.2601629628329747,,,,,4.695218626741632,53.28368,0.0462386,0.3410892,1.0681702,47.440697,0.15197837,0.16940865,1.3657068,54.432426,0.049155533,0.35471416,1.1539333,46.89668,0.15091074,0.19686243,1.3605239,325.47003,-7.149867,0.7596049,0.97073656,50.34307,0.15234703,0.20028558,1.4574167,316.38885,-7.1886864,0.7705653,0.96790594,324.91693,49.898106,315.91284,a0,1880.8770751953125,1719.6690273522108,0.26016169743266576,0.2601617297664955,2.2002728191083953e-06,1.6727698602947427e-06,3.212759306415983e-07,
new_1_1,0.1,128,0.0190155949022639,,,,,3.929817475097012,52.31487,0.05030787,0.20408587,1.3267919,52.4886,0.061018825,0.19553672,1.4294915,51.551575,0.059269845,0.2163715,1.2959012,52.130547,0.058849752,0.21079335,1.4390324,367.99484,-9.287185,0.9011554,1.1123143,56.136703,0.10086149,0.21914162,1.5202274,375.58768,-10.21428,0.92529976,1.1096457,367.78143,55.255993,375.5865,a0,1362.6175537109375,1328.880494384066,0.019014296475064998,0.01901429376108795,6.2496160879998985e-06,1.1298879551979724e-06,5.556807157800921e-07,
new_1_1,0.1,512,0.0350350137915115,,,,,3.779505648836412,50.66175,0.05682385,0.20390186,1.3468498,51.635635,0.07376176,0.20539439,1.3970999,50.086235,0.057947993,0.20895056,1.350104,51.191765,0.07475954,0.21335717,1.3818154,368.1475,-10.274082,0.90392816,1.1026534,52.41679,0.08217764,0.19737655,1.4675092,366.68723,-9.473052,0.89004403,1.108643,368.37817,52.35521,366.77588,a0,1259.2767333984375,1252.573650162958,0.03503380249551531,0.03503378731307395,3.4809231558019516e-06,1.233535294700716e-06,3.4597563664602264e-07,
new_1_1,0.1,2048,0.0482579280682852,,,,,3.756233511592737,51.926765,0.05568856,0.19293164,1.3715489,51.488216,0.09512299,0.19466463,1.3510208,51.52641,0.05585134,0.2115123,1.364552,50.81818,0.096749544,0.21080264,1.3306999,367.93253,-9.865036,0.88389945,1.0987096,54.27061,0.087920785,0.20737636,1.3992171,365.43753,-9.991786,0.9037874,1.0989975,368.05045,53.868126,365.46524,a0,1313.9541015625,1314.2877169229905,0.04825579936836433,0.048255795973764795,4.998575841103081e-06,2.435281849094695e-06,6.261164878236792e-07,
new_1_2,0.0001,32,,-2.199102212954741,,,,0.2452045713045535,11.64664,0.95646685,0.075901695,0.24688727,8.970412,0.96893346,0.037652314,0.26023945,11.646618,0.9564695,0.07589631,0.24690099,8.970517,0.9689326,0.037656352,0.2602445,38.635815,0.8837761,0.09722058,0.11534963,11.375253,0.95614344,0.047909614,0.32800844,33.563198,0.9074456,0.08640308,0.10280909,38.63537,11.375178,33.56279,a1,263.5337829589844,281.47050887331363,-2.199102757327718,-2.1991027439109327,1.1017234426979883e-06,7.855389090316578e-07,2.0863117791523354e-07,
new_1_2,0.0001,128,,-0.1608677472757684,,,,0.0671498866490088,11.846033,0.95032644,0.04971849,0.29778767,11.353256,0.95536095,0.045906745,0.31339556,11.846958,0.95031846,0.04972388,0.2978083,11.352965,0.9553632,0.045906473,0.3133918,51.6017,0.7970742,0.13035052,0.15605168,12.583151,0.9535675,0.05338015,0.34263116,57.31778,0.7363487,0.14775589,0.16925243,51.601864,12.583382,57.317673,a1,198.40042114257812,190.3676958363576,-0.16086268536717072,-0.1608627632249279,1.0310186265211074e-05,3.504040267193753e-06,1.0416195429537844e-06,
new_1_2,0.0001,512,,-0.3005696631908401,,,,0.0274907492476089,10.098043,0.9617078,0.04212836,0.27219492,10.083408,0.9641022,0.042026546,0.27218133,10.09819,0.9617065,0.042127796,0.27220267,10.083327,0.9641027,0.042025317,0.2721785,45.13531,0.8300948,0.11388469,0.13507013,11.074977,0.9589346,0.046457786,0.31132644,49.855648,0.80613124,0.12822713,0.15068045,45.135033,11.075051,49.855515,a1,184.72787475585938,176.27121307839388,-0.30056866711522423,-0.30056865131969096,2.541311604598029e-06,1.6837261812008286e-06,4.234331164124664e-07,
new_1_2,0.0001,2048,,-0.4255622840128918,,,,0.0584966489469353,9.0072775,0.97114855,0.036972947,0.23853528,9.035744,0.97144425,0.037481103,0.23660605,9.007232,0.97114885,0.036974054,0.2385347,9.035722,0.97144413,0.037481744,0.23660497,39.90821,0.8716228,0.10111835,0.11910035,10.423263,0.9658874,0.043762967,0.26930103,44.58889,0.83624244,0.11435898,0.13407964,39.908012,10.423268,44.588814,a1,189.58067321777344,195.85506962016552,-0.4255569044796986,-0.4255571283178574,1.1630781280524971e-05,7.643542937918468e-06,1.9739219801659752e-06,
